Workout Timestamp,Live/On-Demand,Instructor Name,Length (minutes),Fitness Discipline,Type,Title,Class Timestamp,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (mph),Distance (mi),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/mi)
2025-02-11 14:54 (-07),On Demand,Emma Lovewell,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2025-01-28 22:00 (-07),,,,,,,42,111.38,,
2025-02-12 21:11 (-07),On Demand,Anna Greenberg,20,Yoga,Morning,20 min Yoga Flow,2025-02-11 22:00 (-07),,,,,,,105,89.51,,
2025-02-12 21:33 (-07),On Demand,Anna Greenberg,10,Meditation,Emotions,10 min Gratitude Meditation,2025-02-06 05:57 (-07),,,,,,,1,69.44,,
2025-02-13 00:11 (MST),On Demand,Kirra Michel,20,Meditation,Sleep,20 min Sleep Meditation,2024-08-20 21:00 (MST),,,,,,,,71.33,,
2025-02-13 06:00 (-07),Live,Emma Lovewell,30,Cycling,Music,30 min EDM Ride,2025-02-13 05:53 (-07),383,213,51%,78,21.83,10.91,479,158.47,,
2025-02-13 06:31 (-07),On Demand,Emma Lovewell,5,Cycling,Cool Down,5 min Cool Down Ride,2024-10-29 21:00 (-07),22,73,29%,85,14.13,1.17,61,135.15,,
2025-02-13 06:36 (-07),On Demand,Matt Wilpers,5,Stretching,Pre & Post-Ride Stretch,5 min AFO Post-Ride Stretch: The 1975,2022-08-19 05:15 (-07),,,,,,,41,111.38,,
2025-02-13 15:20 (MST),On Demand,Kirra Michel,20,Yoga,Slow Flow,20 min Slow Flow,2025-02-10 22:00 (MST),,,,,,,115,93.20,,
2025-02-13 22:30 (MST),On Demand,Kirra Michel,10,Meditation,Sleep,10 min Sleep Meditation,2025-02-02 20:00 (MST),,,,,,,,65.38,,
2025-02-14 08:44 (-07),On Demand,Aditi Shah,20,Yoga,Theme,20 min Valentine's Day Yoga Flow,2025-02-13 22:00 (-07),,,,,,,100,86.61,,
2025-02-14 09:30 (-07),On Demand,Matt Wilpers,45,Cycling,Power Zone,45 min Power Zone Max Ride,2025-02-11 04:26 (-07),468,173,39%,98,19.65,14.74,624,144.97,,
2025-02-14 10:16 (-07),On Demand,Matt Wilpers,5,Cycling,Cool Down,5 min Cool Down Ride,2024-04-17 08:00 (-07),22,74,27%,101,14.26,1.18,54,126.83,,
2025-02-14 10:21 (-07),On Demand,Matt Wilpers,5,Stretching,Pre & Post-Ride Stretch,5 min AFO Post-Ride Stretch: The 1975,2022-08-19 05:15 (-07),,,,,,,38,105.39,,
2025-02-14 21:53 (MST),On Demand,Kirra Michel,10,Meditation,Sleep,10 min Sleep Meditation,2025-02-02 20:00 (MST),,,,,,,,69.25,,
2025-02-15 09:10 (-07),On Demand,Christian Vande Velde,30,Cycling,Power Zone,30 min Power Zone Rock Ride,2025-02-14 11:34 (-07),300,166,38%,102,19.58,9.79,400,141.51,,
